model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.0026853456684689863,root_mean_squared_error,0.1304645538330078,50.22872304916382,0.00044226646423339844,0.008563518524169922,2,True,9
NeuralNetFastAI,-0.002781495596811491,root_mean_squared_error,0.06787919998168945,38.20456123352051,0.06787919998168945,38.20456123352051,1,True,8
CatBoost,-0.0028009430481203638,root_mean_squared_error,0.0020546913146972656,0.9655179977416992,0.0020546913146972656,0.9655179977416992,1,True,6
LightGBM,-0.002849922725003612,root_mean_squared_error,0.0051152706146240234,11.522511005401611,0.0051152706146240234,11.522511005401611,1,True,4
KNeighborsUnif,-0.0029181415055024008,root_mean_squared_error,0.01536870002746582,0.0049037933349609375,0.01536870002746582,0.0049037933349609375,1,True,1
LightGBMXT,-0.0030428254769221557,root_mean_squared_error,0.006493091583251953,7.629760265350342,0.006493091583251953,7.629760265350342,1,True,3
ExtraTreesMSE,-0.003374217056637828,root_mean_squared_error,0.04165911674499512,0.48818349838256836,0.04165911674499512,0.48818349838256836,1,True,7
RandomForestMSE,-0.003565202702767243,root_mean_squared_error,0.03829193115234375,0.5245010852813721,0.03829193115234375,0.5245010852813721,1,True,5
KNeighborsDist,-0.004055309255834548,root_mean_squared_error,0.01541900634765625,0.004725456237792969,0.01541900634765625,0.004725456237792969,1,True,2
