model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.0219264306852198,root_mean_squared_error,0.08681035041809082,28.958447217941284,0.0004470348358154297,0.011494636535644531,2,True,10
NeuralNetFastAI,-0.022040276337311007,root_mean_squared_error,0.04532742500305176,27.427412509918213,0.04532742500305176,27.427412509918213,1,True,8
CatBoost,-0.022651304664396063,root_mean_squared_error,0.0028057098388671875,1.0371630191802979,0.0028057098388671875,1.0371630191802979,1,True,6
LightGBM,-0.022911486566072475,root_mean_squared_error,0.0064318180084228516,13.997237205505371,0.0064318180084228516,13.997237205505371,1,True,4
LightGBMXT,-0.023709811131909567,root_mean_squared_error,0.00742030143737793,15.421460151672363,0.00742030143737793,15.421460151672363,1,True,3
KNeighborsUnif,-0.024505831121864757,root_mean_squared_error,0.015615701675415039,0.004374980926513672,0.015615701675415039,0.004374980926513672,1,True,1
XGBoost,-0.024913130679360032,root_mean_squared_error,0.018462657928466797,1.1074261665344238,0.018462657928466797,1.1074261665344238,1,True,9
RandomForestMSE,-0.025091203335319084,root_mean_squared_error,0.04159092903137207,0.5143692493438721,0.04159092903137207,0.5143692493438721,1,True,5
ExtraTreesMSE,-0.02541847136180968,root_mean_squared_error,0.038230180740356445,0.4823770523071289,0.038230180740356445,0.4823770523071289,1,True,7
KNeighborsDist,-0.026353058164853494,root_mean_squared_error,0.015504598617553711,0.005304574966430664,0.015504598617553711,0.005304574966430664,1,True,2
