model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.02189346037037867,root_mean_squared_error,0.1586155891418457,31.610408306121826,0.003236055374145508,0.030983448028564453,2,True,10
NeuralNetFastAI,-0.02212698920970077,root_mean_squared_error,0.09690070152282715,30.36758852005005,0.09690070152282715,30.36758852005005,1,True,8
CatBoost,-0.024708975663707708,root_mean_squared_error,0.0022127628326416016,0.7057220935821533,0.0022127628326416016,0.7057220935821533,1,True,6
ExtraTreesMSE,-0.027950660634665093,root_mean_squared_error,0.04081130027770996,0.5018055438995361,0.04081130027770996,0.5018055438995361,1,True,7
LightGBM,-0.03052151773972828,root_mean_squared_error,0.009499073028564453,15.34915828704834,0.009499073028564453,15.34915828704834,1,True,4
XGBoost,-0.03268301847514938,root_mean_squared_error,0.023151159286499023,0.939523458480835,0.023151159286499023,0.939523458480835,1,True,9
KNeighborsUnif,-0.03274489709908339,root_mean_squared_error,0.015454769134521484,0.0043087005615234375,0.015454769134521484,0.0043087005615234375,1,True,1
LightGBMXT,-0.03294776143544959,root_mean_squared_error,0.013447284698486328,11.43010663986206,0.013447284698486328,11.43010663986206,1,True,3
KNeighborsDist,-0.03462342518961752,root_mean_squared_error,0.015645980834960938,0.004863739013671875,0.015645980834960938,0.004863739013671875,1,True,2
RandomForestMSE,-0.03541762146615873,root_mean_squared_error,0.03928089141845703,0.5162632465362549,0.03928089141845703,0.5162632465362549,1,True,5
