model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.0009981169250558508,root_mean_squared_error,0.019525766372680664,29.897385597229004,0.00042724609375,0.007063627243041992,2,True,7
CatBoost,-0.000999285030984364,root_mean_squared_error,0.0032851696014404297,29.885633945465088,0.0032851696014404297,29.885633945465088,1,True,6
KNeighborsDist,-0.001145899151488907,root_mean_squared_error,0.015813350677490234,0.0046880245208740234,0.015813350677490234,0.0046880245208740234,1,True,2
LightGBM,-0.0011514332710476128,root_mean_squared_error,0.009927749633789062,15.060823440551758,0.009927749633789062,15.060823440551758,1,True,4
RandomForestMSE,-0.0011516093967599286,root_mean_squared_error,0.03867697715759277,0.5159115791320801,0.03867697715759277,0.5159115791320801,1,True,5
LightGBMXT,-0.0011953384668498524,root_mean_squared_error,0.00753331184387207,14.43538522720337,0.00753331184387207,14.43538522720337,1,True,3
KNeighborsUnif,-0.0011995165646252024,root_mean_squared_error,0.015379905700683594,0.0044286251068115234,0.015379905700683594,0.0044286251068115234,1,True,1
