model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.006161037203467989,root_mean_squared_error,0.13637351989746094,40.872475385665894,0.0004220008850097656,0.018297195434570312,2,True,10
NeuralNetFastAI,-0.006375618109397788,root_mean_squared_error,0.07288074493408203,37.71138143539429,0.07288074493408203,37.71138143539429,1,True,8
CatBoost,-0.006927502853582078,root_mean_squared_error,0.002130270004272461,0.7700273990631104,0.002130270004272461,0.7700273990631104,1,True,6
XGBoost,-0.00735184989436766,root_mean_squared_error,0.0201113224029541,1.884239912033081,0.0201113224029541,1.884239912033081,1,True,9
LightGBM,-0.007933384981313359,root_mean_squared_error,0.005757808685302734,9.148788213729858,0.005757808685302734,9.148788213729858,1,True,4
LightGBMXT,-0.008081362259493735,root_mean_squared_error,0.004226207733154297,9.335443258285522,0.004226207733154297,9.335443258285522,1,True,3
KNeighborsUnif,-0.009192196133135395,root_mean_squared_error,0.015500068664550781,0.0042378902435302734,0.015500068664550781,0.0042378902435302734,1,True,1
ExtraTreesMSE,-0.010059447187063338,root_mean_squared_error,0.04082918167114258,0.4885294437408447,0.04082918167114258,0.4885294437408447,1,True,7
KNeighborsDist,-0.010775589433276755,root_mean_squared_error,0.015461206436157227,0.004404306411743164,0.015461206436157227,0.004404306411743164,1,True,2
RandomForestMSE,-0.011211548200243,root_mean_squared_error,0.03974580764770508,0.6045286655426025,0.03974580764770508,0.6045286655426025,1,True,5
