model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetFastAI,-0.027736251717963557,root_mean_squared_error,0.05906844139099121,23.02975845336914,0.05906844139099121,23.02975845336914,1,True,8
WeightedEnsemble_L2,-0.027736251717963557,root_mean_squared_error,0.05988025665283203,23.04462695121765,0.0008118152618408203,0.014868497848510742,2,True,9
CatBoost,-0.02942660044859291,root_mean_squared_error,0.0024871826171875,1.3284187316894531,0.0024871826171875,1.3284187316894531,1,True,6
LightGBM,-0.030894355662312665,root_mean_squared_error,0.0062847137451171875,19.949171781539917,0.0062847137451171875,19.949171781539917,1,True,4
LightGBMXT,-0.03185714810124177,root_mean_squared_error,0.0066492557525634766,14.08614444732666,0.0066492557525634766,14.08614444732666,1,True,3
ExtraTreesMSE,-0.032487026849668095,root_mean_squared_error,0.04051947593688965,0.4974935054779053,0.04051947593688965,0.4974935054779053,1,True,7
RandomForestMSE,-0.032640290487471316,root_mean_squared_error,0.03876018524169922,0.6229791641235352,0.03876018524169922,0.6229791641235352,1,True,5
KNeighborsDist,-0.03473258969673917,root_mean_squared_error,0.016707181930541992,0.005011558532714844,0.016707181930541992,0.005011558532714844,1,True,2
KNeighborsUnif,-0.0348961162002164,root_mean_squared_error,0.015484809875488281,0.004770994186401367,0.015484809875488281,0.004770994186401367,1,True,1
