model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.00524746181651822,root_mean_squared_error,0.05614328384399414,36.989951848983765,0.00045108795166015625,0.009415626525878906,2,True,10
CatBoost,-0.00525111802123029,root_mean_squared_error,0.002200603485107422,1.0610547065734863,0.002200603485107422,1.0610547065734863,1,True,6
NeuralNetFastAI,-0.005293136964599623,root_mean_squared_error,0.05349159240722656,35.9194815158844,0.05349159240722656,35.9194815158844,1,True,8
LightGBM,-0.0054468177126257645,root_mean_squared_error,0.0040149688720703125,11.819332599639893,0.0040149688720703125,11.819332599639893,1,True,4
LightGBMXT,-0.005482705188572472,root_mean_squared_error,0.007074832916259766,8.721326351165771,0.007074832916259766,8.721326351165771,1,True,3
XGBoost,-0.005497027471375015,root_mean_squared_error,0.013721227645874023,1.3805198669433594,0.013721227645874023,1.3805198669433594,1,True,9
KNeighborsUnif,-0.005813806686918139,root_mean_squared_error,0.015514850616455078,0.004437685012817383,0.015514850616455078,0.004437685012817383,1,True,1
ExtraTreesMSE,-0.006159159828422725,root_mean_squared_error,0.0383915901184082,0.4964118003845215,0.0383915901184082,0.4964118003845215,1,True,7
RandomForestMSE,-0.006317980183027166,root_mean_squared_error,0.040283918380737305,0.5128865242004395,0.040283918380737305,0.5128865242004395,1,True,5
KNeighborsDist,-0.006618280231808759,root_mean_squared_error,0.015561103820800781,0.004385948181152344,0.015561103820800781,0.004385948181152344,1,True,2
