model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.02935926599445205,root_mean_squared_error,0.048261165618896484,46.998055934906006,0.0004165172576904297,0.008387565612792969,2,True,10
LightGBMXT,-0.029796732845970453,root_mean_squared_error,0.005208492279052734,10.58528184890747,0.005208492279052734,10.58528184890747,1,True,3
NeuralNetFastAI,-0.029923696378640792,root_mean_squared_error,0.04263615608215332,36.40438652038574,0.04263615608215332,36.40438652038574,1,True,8
LightGBM,-0.03142597043570062,root_mean_squared_error,0.00578761100769043,7.093711853027344,0.00578761100769043,7.093711853027344,1,True,4
XGBoost,-0.03205084318600381,root_mean_squared_error,0.01249551773071289,3.767063856124878,0.01249551773071289,3.767063856124878,1,True,9
CatBoost,-0.03264989972400601,root_mean_squared_error,0.0023708343505859375,0.8584733009338379,0.0023708343505859375,0.8584733009338379,1,True,6
KNeighborsUnif,-0.033558230477972045,root_mean_squared_error,0.01548314094543457,0.0047533512115478516,0.01548314094543457,0.0047533512115478516,1,True,1
KNeighborsDist,-0.034670805128475916,root_mean_squared_error,0.01558375358581543,0.004984617233276367,0.01558375358581543,0.004984617233276367,1,True,2
RandomForestMSE,-0.03657271506722007,root_mean_squared_error,0.04142642021179199,0.5229949951171875,0.04142642021179199,0.5229949951171875,1,True,5
ExtraTreesMSE,-0.03657807758119834,root_mean_squared_error,0.04911494255065918,0.49143385887145996,0.04911494255065918,0.49143385887145996,1,True,7
