model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
KNeighborsUnif,-0.0012998322999093859,root_mean_squared_error,0.015510797500610352,0.004354953765869141,0.015510797500610352,0.004354953765869141,1,True,1
WeightedEnsemble_L2,-0.0012998322999093859,root_mean_squared_error,0.0160677433013916,0.013222217559814453,0.00055694580078125,0.008867263793945312,2,True,4
LightGBMXT,-0.0013561221660232654,root_mean_squared_error,0.009541749954223633,60.0113730430603,0.009541749954223633,60.0113730430603,1,True,3
KNeighborsDist,-0.0014036367730713248,root_mean_squared_error,0.015612602233886719,0.004666328430175781,0.015612602233886719,0.004666328430175781,1,True,2
