model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.026970713318923503,root_mean_squared_error,0.12903451919555664,41.82972431182861,0.00041222572326660156,0.010715961456298828,2,True,10
NeuralNetFastAI,-0.02782053384704793,root_mean_squared_error,0.06456422805786133,38.19700217247009,0.06456422805786133,38.19700217247009,1,True,8
CatBoost,-0.028212192543730315,root_mean_squared_error,0.0020444393157958984,0.7606251239776611,0.0020444393157958984,0.7606251239776611,1,True,6
XGBoost,-0.029479685876265843,root_mean_squared_error,0.021367549896240234,2.3734707832336426,0.021367549896240234,2.3734707832336426,1,True,9
LightGBMXT,-0.030654926081561847,root_mean_squared_error,0.005852222442626953,7.62705135345459,0.005852222442626953,7.62705135345459,1,True,3
LightGBM,-0.030765521538442295,root_mean_squared_error,0.008861064910888672,9.669982671737671,0.008861064910888672,9.669982671737671,1,True,4
ExtraTreesMSE,-0.03211379428479151,root_mean_squared_error,0.04064607620239258,0.48791027069091797,0.04064607620239258,0.48791027069091797,1,True,7
RandomForestMSE,-0.03295346236470403,root_mean_squared_error,0.03857851028442383,0.5884950160980225,0.03857851028442383,0.5884950160980225,1,True,5
KNeighborsUnif,-0.03298663278110661,root_mean_squared_error,0.015570640563964844,0.004383087158203125,0.015570640563964844,0.004383087158203125,1,True,1
KNeighborsDist,-0.03823680315955725,root_mean_squared_error,0.015571832656860352,0.004267215728759766,0.015571832656860352,0.004267215728759766,1,True,2
